Model Name,Stage,Number of Participants,Category,Authority,Description,Number of Beneficiaries Impacted,Number of Physicians Impacted,Date Began,Date Ended,States,Keywords,URL,Display Model Summary,Unique ID
Accountable Health Communities Model,Not Active,28,State & Community-Based Models,Section 1115A of the Social Security Act,The Accountable Health Communities Model tested whether addressing unmet health-related social needs could reduce health care costs and utilization among community Medicare and Medicaid beneficiaries.,,,,,"AZ,CO,CT,GA,IL,IN,KY,MD,MI,MN,NJ,NM,NY,OH,OK,OR,PA,TN,TX,VA,WV","State & Community-Based Models, Accountable Health Communities Model, AHC Model, Medicare, Medicaid, community services, social needs, health related social needs, bridge organizations, clinical-community collaboration, community services",/initiatives/ahcm/,TRUE,1
ACO Investment Model,Not Active,45,Accountable Care Models,Section 1115A of the Social Security Act,The ACO Investment Model tested new pre-payment approaches meant to support Medicare Shared Savings Program ACOs.,,,,,"CA,OK,MN,KS,MS,WV,TX,KY,ME,NC,FL,IA,WI,IL,MO,MI,NH,VT,OH,PA,WA,AL,SC,GA,SD,OR,MT,ID,WY,TN,SD,NE,NM,CO","Accountable Care Models, ACO Investment Model, Accountable Care Organization, Medicare Shared Savings Program, Advance Payment ACO Model, Pioneer ACO Model, rural areas",/initiatives/ACO-Investment-Model/,TRUE,2
ACO REACH,Active,122,Accountable Care Models,Section 1115A of the Social Security Act,"The redesigned Model reflects the Biden-Harris Administration priorities and responds to stakeholder and participant feedback.  With ACO REACH, CMS will test a model that can inform the Medicare Shared Savings Program and future models by making important changes to the GPDC Model.",,,,,,"Accountable Care Models, ACO Investment Model, Accountable Care Organization, Medicare Shared Savings Program, Advance Payment ACO Model, Pioneer ACO Model, rural areas, ACO Reach Model, primary care",/innovation-models/aco-reach,TRUE,3
Advance Payment ACO Model,Not Active,35,Accountable Care Models,Section 1115A of the Social Security Act,The Advance Payment ACO Model provided upfront and monthly payments to 35 ACOs participating in the Medicare Shared Savings Program.,,,,,"NC,KY,NH,FL,TX,RI,TN,CA,MA,MD,MS,CT,IN,AR,MO,OH,NE","Accountable Care Models, Accountable Care, ACOs, Advance Payment ACO Model, Accountable Care Organizations (ACOs), rural, Medicare, Shared Savings Program, prospective payment",/initiatives/Advance-Payment-ACO-Model/,TRUE,4
Artificial Intelligence (AI) Health Outcomes Challenge,Not Active,7,Statutory Demonstrations and Other Projects,America COMPETES Reauthorization Act,Competition to innovate how artificial intelligence (AI) can be implemented in current and new health care payment and service delivery models.,,,,,,"Artificial Intelligence (AI) Health Outcomes Challenge, Statutory Models, technology, competition, Medicare, Medicaid, big data",/initiatives/artificial-intelligence-health-outcomes-challenge/,TRUE,5
BPCI Advanced,Active,"207 Participants, 247 Episode Initiators",Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,BPCI Advanced is a voluntary episode payment model that will qualify as an Advanced Alternative Payment Model (APM) under the Quality Payment Program to test a new iteration of bundled payments.,,,,,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,IL,KS,KY,LA,ME,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OK,OR,PA,PR,SC,SD,TN,TX,UT,VA,WA,WI,WV","Disease-Specific & Episode-Based Models, BPCI Advanced, Bundled Payments for Care Improvement Advanced, Advanced Alternative Payment Model (APM), episode of care, Medicare",/initiatives/bpci-advanced/,TRUE,6
Bundled Payments for Care Improvement (BPCI) Initiative: General Information,Not Active,,Disease-Specific & Episode-Based Models,,The Bundled Payments for Care Improvement intitiative evaluated 4 different models of bundled payments for a defined episode of care to incentivize care redesign.,,,,,,"Disease-Specific & Episode-Based Models, Bundled Payments for Care Improvement (BPCI) Initiative: General Information, BPCI, Medicare, prospective payment, BPCI Model 1: Retrospective Acute Care Hospital Stay Only, BPCI Model 2: Retrospective Acute & Post Acute Care Episode, BPCI Model 3: Retrospective Post Acute Care, BPCI Model 4: Prospective Acute Care Hospital Stay Only",/initiatives/Bundled-Payments/,TRUE,7
CHART Model,Withdrawn,4,State & Community-Based Models,Section 1115A of the Social Security Act,"This model aims to empower rural communities to develop a high quality care delivery system through new seed funding, payment structures, operational and regulatory flexibilities and technical and learning support.",,,,,,"Community Health Access and Rural Transformation (CHART) Model, rural health, Disease-Specific & Episode-Based Models, Medicare, hospitals, Critical Access Hospitals (CAHs), CHART Model",/initiatives/chart-model,TRUE,8
Community-based Care Transitions Program,Not Active,18,"Statutory Demonstrations and Other Projects, State & Community-Based Models",Section 3026 of the Affordable Care Act,The Community-Based Care Transition Program supported community-based organizations to reduce readmissions by improving transitions of high-risk Medicare beneficiaries from the inpatient hospital setting to home or other care settings.,,,,,"CA,IL,NY,AZ,PA,MA,MI,OH,NC,AL,IN,KY","Statutory Models, Partnership for Patients, Nationwide, Hospital-Acquired Conditions, Readmissions, CCTP, Community-Based Care Transitions Program, Medicare, Hospital Engagement Networks",/initiatives/CCTP/,TRUE,9
Comprehensive Care for Joint Replacement Model,Active,Approximately 324 hospitals in 34 MSAs,Disease-Specific & Episode-Based Models,Section 1115A of the Social Security Act,This model aims to improve care and reduce costs for hip and knee replacements through episode-based payments.,,,,,"AL,AR CA,CT,FL,IN,KY,MS,NC,NY,NJ,OH,PA,TX,UT","Comprehensive Care for Joint Replacement Model, Disease-Specific & Episode-Based Models, lower extremity joint replacement, hip replacement, knee replacement, surgeries, CJR Model",/initiatives/cjr/,TRUE,10
Comprehensive ESRD Care Model,Not Active,33,"Accountable Care Models, Disease-Specific & Episode-Based Models",Section 1115A of the Social Security Act,The Comprehensive ESRD Care Model was designed to improve care for beneficiaries with ESRD while lowering Medicare costs.,,,,,"AL,AZ,CA,DE,FL,GA,IL,IN,LA,MA,MD,MI,MN,MO,NC,NJ,NY,NV,OH,OR,PA,SC,TN,TX,WA","Disease-Specific & Episode-Based Models, comprehensive esrd care model, esrd, end-stage renal disease, dialysis, Medicare, CEC Model",/initiatives/comprehensive-ESRD-care/,TRUE,11
